object_id,ein,RcptOfIntAnntsRntsRyltsInd,GftGrntOrCpCntrTOthOrgInd,GftGrntCpCntrFrmOthOrgInd,LnsOrGrntsTOthrOrgInd,LnsOrGrntsFrmOthOrgInd,DvRltdOrgnztnInd,AsstSlTOthrOrgInd,AsstPrchsFrmOthrOrgInd,AsstExchngInd,RntlOfFcltsTOthOrgInd,RntlOfFcltsFrmOthOrgInd,PrfrmOfSrvcsFrOthOrgInd,PrfrmOfSrvcsByOthrOrgInd,ShrngOfFcltsInd,PdEmplysShrngInd,RmbrsmntPdTOthrOrgInd,RmbrsmntPdByOthrOrgInd,TrnsfrTOthrOrgInd,TrnsfrFrmOthrOrgInd
201931019349300333,141338498,false,false,false,true,true,-,false,false,false,false,false,false,false,false,false,false,false,true,true
201931019349300218,910236600,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0
201900809349300610,480547702,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true
201940089349301129,596046500,false,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201900999349300230,750983821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201940799349300809,383001876,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,0
201940569349300119,470376524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201930509349300228,750851900,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201930749349300603,840402707,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,true,false,false,false
201930459349300823,222586208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201900159349300855,362167773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201920089349300847,381627600,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0
201940549349300604,611031382,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0
201930659349300838,520591694,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201940189349300604,240795505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201940359349301054,231352664,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201900799349300340,540505922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
201900809349300240,030482006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
201930869349300133,930386858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201910919349300316,231352621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
201910889349300616,042111203,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
201920319349300137,030179299,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201920919349300307,340714687,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201930659349300333,350868096,false,false,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201930949349301228,580633971,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false
201900509349300600,750827421,false,false,true,false,false,false,false,false,false,false,false,true,true,true,true,true,true,true,true
201910749349300116,941021164,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0
201930959349300628,042103585,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0
201930329349300928,370681530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201931009349300028,800477644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1
