object_id,ein,Dsc,BsnssCd,TtlRvnClmnAmt,RltdOrExmptFncIncmAmt
202033039349301753,221821292,TUITION AND FEES,611310,32795043,32795043
202033039349301753,221821292,CHARGES FOR SERVICES,611310,4056353,4056353
202033039349301753,221821292,FEES FOR TESTING,611310,358100,358100
202033039349301753,221821292,STUDENT SUPPORT SERVICES,611310,317516,317516
202100639349300445,381627600,Tuition and Fees,611310,50472986,50472986,0,0
202100639349300445,381627600,Auxilliary Revenue,611710,13525894,13525894,0,0
202121349349303522,042103552,TUITION & FEES,611710,285207655,285207655
202121349349303522,042103552,SPONSORED PROGRAMS,611710,57029461,57029461
202121349349303522,042103552,AUXILIARY SERVICES,721000,37486506,37374040,112466
202121349349303522,042103552,BRANDEIS NATIONAL COMMITTEE,611710,907369,907369
202121349349303522,042103552,FOSTER BIO LAB,611710,97055,97055
202000949349301135,943116985,TUITION,611710,2534386,2534386
202000949349301135,943116985,CAFETERIA,722320,616330,616330
202000949349301135,943116985,ROOM & BOARD,611710,396490,396490
202000949349301135,943116985,BOOKSTORE & TEXTBOOKS,611710,100745,100745
202001019349300300,430654876,TUITION AND FEES,900099,26552167,26552167
202001019349300300,430654876,RESIDENCE HALLS AND FOOD SERVICE,900099,5795989,5795989
202001019349300300,430654876,OTHER INCOME,900099,594189,594189
202001019349300300,430654876,CONFERENCE,531190,319414,319414
202001019349300300,430654876,BOOKSTORE,451211,76583,76583
202001019349301400,340714818,TUITION AND FEES,900099,62653596,62653596
202001019349301400,340714818,AUXILIARY ACTIVITIES,900099,13961211,13961211
202001019349301400,340714818,CHRISTIAN OUTREACH,611710,4008730,3675513,333217
202001019349301400,340714818,MISCELLANEOUS STUDENT SERVICES,611710,915499,885665,29834
202001019349301400,340714818,STUDENT REL. ACTIVITIES,900099,901988,897213,4775
202001029349300200,410918317,Tuition,616000,16040,0,0
202001079349300020,741196134,TUITION AND FEES,611710,21528423,21528423
202001079349300020,741196134,AUXILIARY SERVICES,611710,1729565,1729565
202023299349300432,510581154,GOVERNMENT FUNDING,900099,2881086,2881086
202043219349310224,832000403,Class Preaching - BIBLE,611710,71160,71160
202043219349310224,832000403,Seminars & retreats,611710
202030769349301243,530196583,TUITION AND FEES,611600,215817674,215817674,0,0
202030769349301243,530196583,FEDERAL AND PRIVATE GRANTS,541700,27218220,27218220,0,0
202030769349301243,530196583,HOUSING,721310,19375515,19375515,0,0
202030769349301243,530196583,FOOD SERVICE,722110,12510478,12510478,0,0
202030769349301243,530196583,BOOKSTORE,451211,315828,315828,0,0
202031959349303053,620476822,Tuition and Fees,611310,580870481,580870481
202031959349303053,620476822,Affilliated Entity Rev,611310,281274184,281274184
202031959349303053,620476822,"Room, Board & Auxiliary",611310,160256635,158263256,1993379
202031959349303053,620476822,Research & Other Contr,611310,52915752,52915752
202031959349303053,620476822,Other Auxiliary,611310,6033081,5934595,98486
202031959349303373,042103578,Tuition and Fees,611310,110351805,110351805
202031959349303373,042103578,ROOM AND BOARD,611310,30399122,30399122
202031959349303373,042103578,Educational Performances,611310,26043,26043
