object_id,ein,NnCshChckbxInd,Dsc,CntrbtnCnt,NncshCntrbtnsRptF990Amt,MthdOfDtrmnngRvnsTxt
201433219349311983,550526150,Other:,0,0
201423529349300412,370661211,X,MEALS & ENTER,8,5451,COST
201423529349300412,370661211,X,PROFESSIONAL,5,3791
201423529349300412,370661211,X,OFFICE SUPPLI,2,2526,COST
201423529349300412,370661211,X,EQUIPMENT,3,1833,FMV
201423429349300102,560547511,X,SOFTWARE,1,26700,MARKET VALUE
201423429349300102,560547511,X,OTHER,8,17537,MARKET VALUE
201423429349300102,560547511,X,FURNITURE,1,15000,MARKET VALUE
201423519349300952,610660795,X,EQUIPMENT,1,500,COMPARABLE SALES
201423129349300002,566049935,X,SOFTWARE,4,520558,INVOICE COST
201423129349300002,566049935,X,NEWSPAPER,1,68000,DONOR STATED
201423129349300002,566049935,X,GOLF CLUB FEE,1,15400,DONOR STATED
201423129349300002,566049935,X,PHOTOGRAPHY,1,7551,INVOICE COST
201443189349305919,480554341,X,VARIOUS,4,2070,PURCHASE PRICE
201443189349305919,480554341,X,UNITED AIRFAR,1,1322,FMV
201443189349305919,480554341,X,BEDDING,2,700,PURCHASE PRICE
201443189349305919,480554341,X,MICROWAVE,1,140,PURCHASE PRICE
201413199349300016,200471061,Salary,123333
201423219349310327,430652649,X,CLEANING EQPT,1,40000,FAIR MARKET VALUE
201423219349310327,430652649,X,TRAINING EQPT,1,33345,FAIR MARKET VALUE
201423219349310327,430652649,X,LIONHEAD LOGO,1,31000,FAIR MARKET VALUE
201423219349310327,430652649,X,BRICK,1,30000,FAIR MARKET VALUE
201423219349310327,430652649,X,CHAIRLIFT,1,23000,FAIR MARKET VALUE
201423219349310327,430652649,X,SHIP MODEL,1,15000,FAIR MARKET VALUE
201423219349310327,430652649,X,BOWLING BALLS,1,10000,FAIR MARKET VALUE
201423219349310327,430652649,X,BRONZE STAGEC,1,6000,FAIR MARKET VALUE
201423219349310327,430652649,X,FURNITURE,1,5000,FAIR MARKET VALUE
201403439349300910,030197728,X,VARIOUS ITEMS,1,11462,FAIR MARKET VALUE
201433239349300603,750827421,X,Furniture,1,162217,FMV
201423189349306322,591092732,X,ENTERTAINMENT,98,38581,AUCTION PURCH PRICE
201423189349306322,591092732,X,SERVICE GIFT,27,8550,AUCTION PURCH PRICE
201423189349306322,591092732,X,VACATION,6,4650,AUCTION PURCH PRICE
201423189349306322,591092732,X,CLOTHING & HO,24,2884,AUCTION PURCH PRICE
201423189349306322,591092732,X,RESTAURANT &,41,2623,AUCTION PURCH PRICE
201423189349306322,591092732,X,JEWELRY,7,1040,AUCTION PURCH PRICE
201423189349306322,591092732,X,BASKETS,4,600,AUCTION PURCH PRICE
201412279349301636,860197576,X,IT SWITCHES,1,105500,MARKET VALUE
201412379349300321,454620000,X,DEPREICABLE ASSETS,1,1347257,FMV
201412469349300551,610470593,X,IRA,10,251350,Value of IRA
201412469349300551,610470593,X,Mutual fund,3,15120,Mutual Fund Value
201412469349300551,610470593,X,Services dona,1,11893
201402769349300805,240795439,X,COMPUTER SUPP,1,53334,FMV
201402769349300805,240795439,X,KODAK DIRECT,1,41167,FMV
201402769349300805,240795439,X,GOLF TOURNAME,1,20000,FMV
201402769349300805,240795439,X,TOOLS & ITEMS,1,13808,FMV
201402769349300805,240795439,X,MEDIMIZER X3,1,11580,FMV
201402559349300200,350715530,X,EQUIPMENT,1,27000,FMV
201402559349300200,350715530,X,MISCELLANEOUS,54,108702,FMV
201412879349300626,550370901,X,1,34000
201402959349300715,621149976,X,EQUIPMENT,5,949,COST OR SALES PRICE
201402959349300715,621149976,X,UNREIMBURSED EXPENSES,10,10612,COST OR SALES PRICE
201433179349303858,742128239,X,Auction items,1,31100,FMV
201443179349304359,351065063,X,Equine,8,2200,Appraisal
201443169349304464,880121831,X,Donated Items,18,7173,ebay googel or price sold
201443169349304464,880121831,X,"Project Mgmt, Superviser HAMC",1,19680,per hour rate
