object_id,ein,BsnssNmLn1Txt,TrnsctnTxt,InvlvdAmt,MthdOfAmntDtrmntnTxt
202100639349300445,381627600,Andrews Broadcasting Corp,Lawrence Schalk,b,126000,Andrews University pays a yearly subsidy to Andrews Broadcasting Corp.
202100639349300445,381627600,Center for Youth Evangelism,e,3675785,Andrews University borrowed funds from Center for Youth Evangelism for University Cash Flow. The amount listed is the average balance borrowed during the fiscal year.
202100639349300445,381627600,Center for Youth Evangelism,j,8600,The University charges a nominal rent for custodial and maintenance services to the Center for Youth Evangelism.
202100639349300445,381627600,North American Division of SDA,j,27000,The University leases space to the North American Division of the SDA for NADEI.
202100639349300445,381627600,Center for Youth Evangelism,n,0,The Center for Youth Evangelism is located on the campus of Andrews University and uses its facilities and other resources such as accounting and payroll services. Unable to estimate the amount attributable to this sharing of resources.
202100639349300445,381627600,Andrews Broadcasting Corp,Lawrence Schalk,n,0,Andrews Broadcasting Corporation is located on the campus of Andrews University and uses its facilities and other resources such as accounting and payroll services. Unable to estimate the amount attributable to this sharing of resources.
202100639349300445,381627600,Center for Youth Evangelism,o,300000,Andrews University processes and reports payroll for all CYE employees under the University TIN. All payroll expenses are reimbursed to the University.
202100639349300445,381627600,Andrews Broadcasting Corp,Lawrence Schalk,o,230000,Andrews University processes all Andrews University Broadcasting Corp payroll under the University TIN. All employee compensation expenses are reimbursed by ABC to the University.
202121349349303522,042103552,PARTNERSHIP 1,S,3700000,FMV
202121349349303522,042103552,PARTNERSHIP 2,B,2000000,FMV
202121349349303522,042103552,Charitable Remainder Unitrust,S,912336,FMV
202001019349301400,340714818,FOUNDATION MARIA THRON-PAYMENTS FOR FACILITY USE,K,11266,FMV
202001019349301400,340714818,KARTAUSENBETRIEBSGMBH & CO NFG - PAYMENTS FOR FACILITY USE,K,1028076,FMV
202001019349301400,340714818,KARTAUSENBETRIEBSGMBH & CO NFG - PAYMENT FOR FOOD SERVICES,M,609794,FMV
202001019349301400,340714818,FOUNDATION MARIA THRON-SUPPORT PAYMENTS,B,838055,FMV
202030769349301243,530196583,ALBERT E FARONE & ANGELA T FARONE FOUNDATION,c,638040,COST
202031959349303053,620476822,Vanderbilt Legends Club,A,509573,FMV
202031959349303053,620476822,Vanderbilt Student Communications Inc,A,60965,FMV
202031959349303053,620476822,Altos Hybrid 2 V LLC,B,6936295,FMV
202031959349303053,620476822,Dore Capital LP,B,180000,FMV
202031959349303053,620476822,Valar Co-Invest 7 LP,B,5634646,FMV
202031959349303053,620476822,Valar Velocity Holdings LP,B,22483277,FMV
202031959349303053,620476822,Charitable Lead Trust (1),C,87618,FMV
202031959349303053,620476822,Charitable Remainder Trust (7),C,8900192,FMV
202031959349303053,620476822,Vanderbilt Legends Club,D,6089546,FMV
202031959349303053,620476822,Vanderbilt Legends Club,K,100000,FMV
202031959349303053,620476822,Vanderbilt Student Communications Inc,O,534769,FMV
202031959349303053,620476822,Vanderbilt Legends Club,P,97101,FMV
202031959349303053,620476822,Vanderbilt Student Communications Inc,R,556332,FMV
202031959349303053,620476822,Charitable Lead Trust (1),S,219295,FMV
202031959349303053,620476822,Commodore Scottish Patron II LP,S,804027,FMV
202031959349303053,620476822,Dore Capital Real Estate LP,S,4530000,FMV
202031959349303053,620476822,Dore Capital LP,S,12645000,FMV
202031959349303053,620476822,Perpetual Trusts (5),S,895234,FMV
202031959349303373,042103578,Willits Hallowell Center,l,147117,Overhead Alloc.
202031959349303373,042103578,Willits Hallowell Center,m,561512,Internal Sales
202031959349303373,042103578,Willits Hallowell Center,n,350000,Est'd FMV- Bldg
202031959349303373,042103578,Willits Hallowell Center,r,62508,Willits Subsidy
202031959349303373,042103578,Pooled Income Funds (2),s,211039,Mandatory Trans
202031959349303373,042103578,Charitable Remainder Unitrusts (20),s,1451620,Mandatory Trans
202041059349300414,420680404,BVU FUND LP,S,11000000,CASH
202001279349300320,580566116,Avery Properties Inc,C,848958,Cash Received
202001279349300320,580566116,Ballykeel Inc,B,90184,Cash Contributed
202001279349300320,580566116,Avery Properties Inc,K,1054150,Lease Payments
202041059349301334,260152908,CBE EDUCATIONAL SERVICES COMPANY INC,a,47282,INT ACCRUED
202041059349301334,260152908,CBE EDUCATIONAL SERVICES COMPANY INC,d,3108000,LOAN BALANCE
202041059349301334,260152908,CBE EDUCATIONAL SERVICES COMPANY INC,n,192909,FMV SHARED SVS
202041059349301334,260152908,CBE EDUCATIONAL SERVICES COMPANY INC,o,323963,FMV SHARED SVS
202041059349301334,260152908,CBE EDUCATIONAL SERVICES COMPANY INC,r,1800000,CASH PAID
202041969349300214,042103552,PARTNERSHIP 1,B,30000000,FMV
202041969349300214,042103552,PARTNERSHIP 2,B,492207,FMV
202041969349300214,042103552,PARTNERSHIP 3,B,30000000,FMV
202041969349300214,042103552,PARTNERSHIP 2,S,2111229,FMV
202041969349300214,042103552,NORMA W FINK REMAINDER UNITRUST,S,62175,FMV
202041969349300229,042104230,Beneficial Interest in trust,S,44278955,cash/stock inv.
202041969349301239,042103637,POOLED INCOME FUNDS (5),S,84659,ACCRUAL
202041969349301239,042103637,CHARITABLE REMAINDER TRUSTS (2),S,2609924,ACCRUAL
202121019349300307,231352674,DELVAL EDUCATIONAL TELECOMMUNICATION NETWORK,C,1237956,75% DVETN REV
202021979349302142,060761704,HENRY C LEE INSTITUTE OF FORENSIC SCIENCE,N,336307,FMV
202021979349302142,060761704,HENRY C LEE INSTITUTE OF FORENSIC SCIENCE,O,398596,FMV
202021979349302142,060761704,HENRY C LEE INSTITUTE OF FORENSIC SCIENCE,R,503165,FMV
