object_id,ein,SttsWhrGmngCndctdCd
202021959349303612,050258810,RI
202020289349301607,596046500,FL
202040849349300734,410695524,MN
202041359349303369,610444780,KY
202041329349300514,250965557,PA
202001479349300875,381366958,MI
202031369349303453,350868188,IN
202001419349301235,111797182,NY
202011709349301801,361408475,IL
201913109349302006,954003255,CA
202001329349302540,210634981,NJ
202030979349300118,340714687,OH
202021399349301552,381374230,MI
202021679349301407,820200906,ID
201943199349309934,390806297,WI
202002259349301610,362167060,IL
202031969349301103,516000297,DE
202001579349300725,310537516,OH
202000809349301200,370661494,IL
201923199349311942,951643359,CA
202011009349301306,160743150,NY
202001969349302050,060662150,CT
202041929349302579,111633486,NY
201943189349309864,381357020,MI
