object_id,ein,BsnssNmLn1Txt,TrnsctnTxt,InvlvdAmt,MthdOfAmntDtrmntnTxt
201931019349300333,141338498,SPRING PROPERTIES INC (DUE TO SIENA),d,132256,BOOK
201931019349300333,141338498,SPRING PROPERTIES INC (DUE FROM SIENA),e,318647,BOOK
201931019349300218,910236600,GONZAGA LAW SCHOOL FOUNDATION,L,495064,FMV
201931019349300218,910236600,IMMOBILIARE GONZAGA SRL,K,247500,FMV
201931019349300218,910236600,GONZAGA LAW SCHOOL FOUNDATION,C,1670290,FMV
201900809349300610,480547702,CHARITABLE REMAINDER TRUST,S,124288,FMV
201940089349301129,596046500,FIT MUSEUM OF ART INC,FIT MUSEUM OF ART INC,D,1203077,COST
201900519349300615,237133739,Higher Education Servicing Corporation,m,4983849,Cash
201930509349300228,750851900,GRACE L WOODWARD MEMORIAL ENDOWMENT,C,1550957
201930509349300228,750851900,ACIMCO,C,90000
201930749349300603,840402707,regis jesuit holdings inc,D,1796515,NEG CASH AMT
201930749349300603,840402707,REGIS JESUIT HOLDINGS INC,P,739255,EXP PD BY REG
201920089349300847,381627600,Center for Youth Evangelism,e,33000,Andrews University borrowed funds from Center for Youth Evangelism for University Cash Flow. The Amount listed is an average balance borrowed during the fiscal year.
201920089349300847,381627600,Center for Youth Evangelism,n,0,The Center for Youth Evangelism is located on the campus of Andrews University and uses its facilities and other resources such as accounting and payroll services. Unable to estimate the amount attributable to this sharing of resources.
201920089349300847,381627600,Center for Youth Evangelism,j,8563,The University charges a nominal rent for custodial and maintenance services to the Center for Youth Evangelism.
201920089349300847,381627600,North American Division of SDA,j,26568,The University leases space to the North American Division of SDA for NADEI
201920089349300847,381627600,Andrews Broadcasting Corp,Lawrence Schalk,b,126000,Andrews University pays a yearly subsidy to Andrews Broadcasting Corp.
201920089349300847,381627600,Andrews Broadcasting Corp,Lawrence Schalk,n,0,Andrews Broadcasting Corp is located on the campus of Andrews University and uses its facilities and other resources such as accounting and payroll services. Unable to estimate the amount attributable to this sharing of resources.
201930659349300838,520591694,WMC DEVELOPMENT CORPORATION,A,345862,COST
201940359349301054,231352664,Pooled Income Fund,a-i,3838,market value
201940359349301054,231352664,Charitable Remainder Unitrusts (8),a-i,38314,market value
