object_id,ein,FrmAndLnRfrncDsc,ExplntnTxt
201931019349300333,141338498,"SCHEDULE R, PART IV, COLUMN (C)",THE CHARITABLE REMAINDER UNITRUSTS LISTED ON LINE 3 OF PART IV HAVE THE FOLLOWING LEGAL DOMICILES: 1 - IL 2 - FL 3 - NY 4 - CT 5 - NY 6 - NY
201910889349300616,042111203,"Schedule R, Part V, Line 1l",Clark performed accounting services for Jonas Realty Corporation. The amount of the transaction is below the threshold for reporting on line 2.
201930949349300013,221487354,"Schedule R, Part IV, Column (C)","The charitable remainder unitrusts listed on Part IV, line 2 have the following legal domiciles: MD NJ (2) NC PA"
201910919349300006,540505977,"Schedule R, PART IV, LINE (1), COLUMN (C)","LEGAL DOMICILE OF TRUST THE CHARITABLE REMAINDER TRUSTS ARE LEGALLY DOMICILED IN DC, FL, GA, KY, MA, MD, MO, NC, NH, NJ, OH, PA, SC, TN, TX, VA, VT, WY."
201940999349300919,350868086,STATE OF LEGAL DOMICILE,INDIANA - 2 WASHINGTON - 1
201833179349306403,420681049,"SCHEDULE R, PART II - FULL NAME, EIN AND ADDRESS OF RELATED ORGANIZATION","SOUTHEASTERN IOWA SYNOD OF THE EVANGELICAL LUTHERAN CHURCH IN AMERICA 36-3514254 2635 NORTHGATE DRIVE IOWA CITY, IA 52244"
201921009349300802,951684793,"Schedule R, Part V, Line 2",The Foundation Board determines the amount to transfer to the college.
201910889349300401,231352641,"SCHEDULE R, PART III, COLUMN A, LINE 1",EIN: 23-2571553
201910889349300401,231352641,"SCHEDULE R, PART III, COLUMN D","DIRECT CONTROLLING ENTITIES OF GETTYSBURG HOTEL INVESTORS, LP ARE: BULLET LAND, INC. GETTYSBURG HOTEL MANAGEMENT LLC"
201901019349300965,240795441,PART VI- BENEFICIAL INTEREST IN TRUST,"KEYSTONE COLLEGE RECEIVES 100% OF THE NET INCOME FROM ONE OF THE PERPETUAL TRUSTS FOR THE PURPOSE OF PROVIDING SCHOLARSHIPS TO STUDENTS OF KEYSTONE COLLEGE WHO ARE RESIDENTS OF LACKAWANNA COUNTY, PENNSYLVANIA."
