object_id,ein,Dsc,Amt
201931019349300333,141338498,ANNUITIES PAYABLE,1319827
201931019349300333,141338498,POSTRETIREMENT BENEFITS,20642140
201931019349300333,141338498,FEDRAL STUDENT LOAN FUNDS,2119324
201931019349300333,141338498,ASSET RETIREMENT OBLIGATION,3546716
201931019349300218,910236600,FEDERAL STUDENT LOANS,10683532
201931019349300218,910236600,INTEREST RATE SWAPS,3591673
201931019349300218,910236600,ANNUITIES PAYABLE,5345891
201931019349300218,910236600,TAXABLE BONDS PAYABLE,155761219
201900429349301195,846024048,DEFERRED COMPENSATION,24000
201900609349300805,980042539,Accrual for employee future benefits,21833036
201900609349300805,980042539,Asset retirement obligation,246042
201900609349300805,980042539,Risk management liability,12015362
201920709349301017,263161884,IDA GRANT ADVANCES,210738
201900809349300610,480547702,ANNUITIES PAYABLE,123893
201900809349300610,480547702,REFUNDABLE GOV. LOAN PROGRAMS,1826160
201900809349300610,480547702,OTHER LIABILITIES,322527
201900809349300610,480547702,TRIP DEPOSITS,104777
201930599349300903,611312812,ACCRUED PAYROLL AND PAYROLL TAXES PAYABLE,2702
201920459349301537,590668483,Agency liabilities,431379
201920459349301537,590668483,Designated scholarship payable,573151
201920459349301537,590668483,Legal reserve,50000
201920459349301537,590668483,Deferred Vendor Bonuses,910911
201920459349301537,590668483,Other miscellaneous liabilities,137246
201940089349301129,596046500,CAPITAL LEASE OBLIGATIONS,15449632
201940089349301129,596046500,REFUNDABLE GOVERNMENT LOANS,4539252
201940089349301129,596046500,ANNUITIES PAYABLE,1945390
201900999349300535,370661494,POST-RETIREMENT BENEFITS OTHER THAN PENSIONS,43130847
201900999349300535,370661494,SWAP CONTRACT,2924649
201900999349300535,370661494,STUDENT DEPOSITS,1993893
201900999349300230,750983821,Student deposits,19482
201900999349300230,750983821,Asset retirement obligations,231598
201930099349300203,231424055,STUDENT DEPOSITS,52771
201930099349300203,231424055,FEDERAL GOVERNMENT ADVANCES,1023769
201940799349300809,383001876,Perkins Loan Advances,108325
201940799349300809,383001876,Annuity contracts,146610
201940569349300119,470376524,CHARITABLE GIFT ANNUITIES,1023093
201940569349300119,470376524,CHARITABLE REMAINDER TRUST OBLIGATIONS,43963
201900519349300615,237133739,Net taxable bonds payable,547044579
201900519349300615,237133739,Unamortized bond discount (taxable),-1453732
201900519349300615,237133739,Deferred income - South Texas acquisition,8530111
201930509349300228,750851900,DEPOSITS AND OTHER LIABILITIES,9072405
201930509349300228,750851900,RESERVE FOR SPLIT INT AGREEMENTS,18609695
201930509349300228,750851900,DEBT ISSUANCE COST AND BOND PREMIUM,2497553
201930749349300603,840402707,INTEREST PAYABLE,166400
201930749349300603,840402707,ASSET RETIREMENT OBLIGATION,793246
201930749349300603,840402707,ANNUITIES PAYABLE,3770148
201930609349301043,930386890,SPLIT INTEREST,1201228
201930609349301043,930386890,PERKINS,575536
201900159349300855,362167773,DEPOSITS HELD FOR OTHERS,263292
201900159349300855,362167773,SWAP LIABILITY,675400
201900159349300855,362167773,457(B) PLAN LIABILITIES,881254
201900159349300855,362167773,STUDENT AND OTHER DEPOSITS,827306
201920089349300847,381627600,Deposits,2068695
201920089349300847,381627600,Funds advanced for Student Loans,2687519
201920089349300847,381627600,Funds Held for Others,709406
201920089349300847,381627600,Liabilities under Split Interest Agreements,5990321
201930659349300838,520591694,REFUNDABLE ADVANCE FROM THE U.S. GOVERNMENT,2151705
201930659349300838,520591694,ACCUMULATED POST RETIREMENT BENEFIT OBLIGATION,3908959
201900219349300015,592961536,CAPITAL LEASE OBLIGATION,137729
201900219349300015,592961536,LINE OF CREDIT - CITY NATIONAL,200000
201900599349301365,640303093,Federal income taxes
201900599349301365,640303093,Capital lease obligation,83623
