object_id,ein,PrsnNm,TtlTxt,AvrgHrsPrWkRt,AvrgHrsPrWkRltdOrgRt,IndvdlTrstOrDrctrInd,RprtblCmpFrmOrgAmt,RprtblCmpFrmRltdOrgAmt,OthrCmpnstnAmt
201932959349301018,850474926,MARK SMITH,"CHAIRMAN, DE",10.00,X,X,12666,0,0
201932959349301018,850474926,LARRY MILAM,PRESIDENT,10.00,X,X,2620,0,0
201932959349301018,850474926,BILL AKPINAR,SECRETARY,10.00,X,X,0,0,0
201903199349311450,980149857,Dr Pedro E Leon,secretary,2.0,0.0,X,X,0,0,0
201903199349311450,980149857,Mr Franklin Chang-Diaz,trustee,2.0,0.0,X,0,0,0
201903199349311450,980149857,Ana Regina Aguirre de Riojas,Trustee,2.0,0.0,X,0,0,0
201903199349311450,980149857,Mrs Marisa Brenninkmeyer,Trustee,2.0,0.0,X,0,0,0
201903199349311450,980149857,Sr Alan H Kelso,vice president,2.0,0.0,X,X,0,0,0
201903199349311450,980149857,Sr Theodore M Tim Solso,president,2.0,0.0,X,X,0,0,0
201903199349311450,980149857,Mr Abdallah Alaoui,trustee,2.0,0.0,X,0,0,0
201903199349311450,980149857,Mr Olav Kjorven,trustee,2.0,0.0,X,0,0,0
201903199349311450,980149857,ms Anne Slaughter Andrew,trustee,2.0,0.0,X,0,0,0
201903199349311450,980149857,Randal Teague,Pres. of Junta de Fiduciarios,2.0,0.0,X,0,0,0
201903199349311450,980149857,Bobby Moser,Trustee,2.0,0.0,X,0,0,0
201903199349311450,980149857,Francis Durman,Trustee,2.0,0.0,X,0,0,0
201903199349311450,980149857,MR MARK BROUSE,TRUSTEE,2.0,0.0,X,0,0,0
201903199349311450,980149857,Dr Daniel Sherrard,Provost,40.0,0.0,X,163394,0,29048
201903199349311450,980149857,Dr Carlos Murillo,Director Campus La Flor,40.0,0.0,X,83302,0,64945
201903199349311450,980149857,Mr Roger Ruiz Mora,Director Commercial Farm,40.0,0.0,X,91503,0,48430
201903199349311450,980149857,Mr Ramn Gonzlez Quirs,HR Director,40.0,0.0,X,121591,0,58175
201903199349311450,980149857,DR ARTURO CONDO,RECTOR,40.0,0.0,X,280500,0,36483
201903199349311450,980149857,DR YANINE CHAN,DEAN,40.0,0.0,X,81947,0,64727
201903199349311450,980149857,MRS PATRICIA LORIA,FINANCIAL DIR.,40.0,0.0,X,93689,0,37585
201903199349311450,980149857,MR MANUEL RAMIREZ,v.p. of development,40.0,0.0,X,101421,0,41770
201933369349300903,561388743,CONNIE BROOKS-FERNANDEZ,DIRECTOR,0.50,X,0,0,0
201933369349300903,561388743,FRED BERKHEIMER,VICE CHAIR,0.50,X,X,0,0,0
201933369349300903,561388743,TODD C CONORMON,CHAIRMAN,0.50,X,X,0,0,0
201933369349300903,561388743,JEFFREY DUDLEY,DIRECTOR,0.50,X,0,0,0
201933369349300903,561388743,BRAD HALEY,TREASURER,1.00,X,X,0,0,0
201933369349300903,561388743,CLAUDE HALEY JR,DIRECTOR,1.00,X,0,0,0
201933369349300903,561388743,BILL KORVER,PRESIDENT,40.00,X,X,86944,0,27000
201933369349300903,561388743,JIM RICKMAN,SECRETARY,0.50,X,X,0,0,0
201933369349300903,561388743,DAVID TAUBER,DIRECTOR,0.50,X,0,0,0
201933369349300903,561388743,GARY BARRETT,DIRECTOR,0.50,X,0,0,0
201933369349300903,561388743,DEB BRUTON,DIRECTOR,0.50,X,0,0,0
201903579349300855,141463151,GAIL WARING RSM,BOARD CHAIR,1.00,X,0,0,0
201903579349300855,141463151,DR MARY JO LAPOSTA RN,VICE CHAIR,1.00,X,0,0,0
201903579349300855,141463151,DR CAROLE A WICKHAM RN,SECRETARY,1.00,X,0,0,0
201903579349300855,141463151,ANDREW KAUFMAN,TREASURER,1.00,X,0,0,0
201903579349300855,141463151,VIRGINIA ARBOUR,BOARD MEMBER,1.00,X,0,0,0
201903579349300855,141463151,MICHAEL T CASSIDY,BOARD MEMBER,1.00,X,0,0,0
201903579349300855,141463151,PAULA COLARUSSO,BOARD MEMBER,1.00,X,0,0,0
201903579349300855,141463151,DR BASSAM M DEEB,BOARD MEMBER,1.00,X,0,0,0
201903579349300855,141463151,DR DENNIS R DEPERRO,BOARD MEMBER,1.00,X,0,0,0
201903579349300855,141463151,EDWARD F GARRIGAN,BOARD MEMBER,1.00,X,0,0,0
201903579349300855,141463151,JOE BONILLA,BOARD MEMBER,1.00,X,0,0,0
201903579349300855,141463151,THOMAS SIMCOE ESQ,BOARD MEMBER,1.00,X,0,0,0
201903579349300855,141463151,CAROLE TARIO MONTEPARE,BOARD MEMBER,1.00,X,0,0,0
201903579349300855,141463151,MAUREEN E O'BRIEN,BOARD MEMBER,1.00,X,0,0,0
201903579349300855,141463151,KATHLEEN PRITTY RSM,BOARD MEMBER,1.00,X,0,0,0
201903579349300855,141463151,SHERRI BROOKS ESQ,BOARD MEMBER,1.00,X,0,0,0
